"","liv","die","rea","des","pas","dur","fre","att","con","det","cry","pla","met","cou","exp","pre","not","arr","cea"
"1",2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,0,0,0
"2",1,2,1,1,0,1,0,1,1,1,1,0,0,2,1,1,0,0,1
"3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0
"4",0,0,0,2,1,1,2,2,1,2,2,1,2,2,2,2,1,1,1
"5",2,2,2,2,1,2,2,2,1,2,2,1,2,1,0,0,1,0,2
"6",2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,0,2,0,2
"7",2,2,2,2,1,2,2,2,1,2,2,1,2,1,1,1,0,0,0
"8",1,1,2,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1
"9",1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,2
"10",2,2,2,2,1,1,1,2,1,2,2,1,2,0,2,2,0,0,1
"11",1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1
"12",1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,2,2,2,1,2,2,1,1,1,2,1,0,1,1,1,1,0,1
"15",2,2,1,2,1,2,1,1,2,1,2,1,0,2,1,1,0,2,2
"16",2,2,2,2,2,2,2,2,2,1,0,2,2,1,2,2,2,1,2
"17",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"18",0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
"19",1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1
"20",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2
"21",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"22",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,1
"23",2,2,2,2,0,1,1,2,1,1,2,1,2,1,1,0,0,0,2
"24",2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1,1
"25",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2,2,2,2,1,1,2,1,1,2,2,0,1,2,2,1,1,0,0
"27",1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,0,1,0,0
"28",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0
"29",1,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,0,0
"30",1,1,2,2,1,2,1,1,1,1,2,1,2,2,2,0,0,0,0
"31",2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,0,2,2
"32",1,1,1,1,2,1,1,1,0,0,2,2,2,2,0,2,2,0,1
"33",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,0,0,2
"35",1,1,0,1,0,0,0,1,1,1,2,0,2,1,1,0,0,0,1
"36",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
"37",1,2,2,1,1,2,1,0,1,0,1,1,2,0,2,0,0,2,2
"38",1,1,1,1,1,1,1,1,0,2,0,1,1,1,1,0,0,0,1
"39",2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1
"40",1,2,1,2,2,1,0,2,1,1,1,1,2,2,2,2,2,0,2
"41",1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1
"42",1,1,1,2,1,0,0,2,1,1,2,2,2,2,2,2,1,2,1
"43",2,2,2,2,0,1,1,2,1,1,1,2,1,2,1,0,0,0,0
"44",2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1,1
"45",2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,0,2
"46",1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,2
"47",2,1,1,2,2,1,1,2,0,2,2,2,0,1,1,2,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",1,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,0,2,0
"50",2,2,2,2,1,0,0,2,2,2,1,2,2,2,2,1,2,0,2
"51",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,1
"53",2,2,1,2,0,0,1,2,2,2,2,2,2,2,2,0,0,0,2
"54",1,1,1,2,1,2,2,1,1,1,2,2,2,0,2,1,0,0,0
"55",0,0,0,1,1,1,1,1,1,1,2,1,2,1,1,1,0,0,0
"56",1,2,1,1,0,2,2,1,1,2,2,1,1,1,2,1,0,0,0
"57",0,0,2,2,2,1,1,2,1,2,2,1,2,1,1,1,2,0,0
"58",1,2,2,2,2,0,1,2,0,0,2,2,2,2,1,0,0,0,2
"59",1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1
"60",1,2,2,2,0,1,1,1,1,1,2,1,1,2,1,0,2,1,1
"61",2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,0
"62",1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,0,2
"63",2,2,2,2,1,1,1,2,2,2,2,0,0,1,1,1,1,1,0
"64",2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2
"65",1,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,0,1
"66",1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,0,0,1
"67",1,2,0,2,2,2,1,2,1,1,2,2,2,2,1,1,0,1,2
"68",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2
